Name,NPC,Discipline,Gender
AGHAKOUCHEKI Abbas,Islamic Republic of Iran,Wheelchair Basketball,Men
AKIN Ahmet,Turkey,Wheelchair Basketball,Men
AKPWEH Toussaint,France,Football 5-a-side,Men
ARIMA Masato,Japan,Wheelchair Basketball,
BAN Nicole,Canada,Sitting Volleyball,Women
BARGUEIRAS MARTINEZ Jesus David,Spain,Football 5-a-side,Men
BHANIA Haj,Great Britain,Wheelchair Basketball,
BOUTIBA Saad,Algeria,Goalball,Men
BRAHIMI Mustapha,Algeria,Wheelchair Basketball,Men
CARRION RUIZ Abraham,Spain,Wheelchair Basketball,Women
CHEN Qi,People's Republic of China,Wheelchair Basketball,Women
CHOUDHRY Gaz,Great Britain,Wheelchair Basketball,Men
CORR Peter,Australia,Goalball,Women
COTE Patrick,Canada,Wheelchair Rugby,Mixed
CUSIN Olivier,France,Wheelchair Rugby,Mixed
CZECHOWSKI Jake,United States of America,Goalball,Women
de RICK Johan,Belgium,Goalball,Men
DEMONTE Martin,Argentina,Football 5-a-side,Men
DO NASCIMENTO CARDOSO Ana Lucia,Colombia,Wheelchair Basketball,Men
DUBBERLEY Brad,Australia,Wheelchair Rugby,Mixed
DUBROVIN Anton,Ukraine,Goalball,Men
DUBROVIN Fedir,Ukraine,Goalball,Men
DUCHARME Marc Antoine,Canada,Wheelchair Basketball,Women
EDRIS Gharib,Egypt,Sitting Volleyball,
EL MOUNTAQI Driss,Morocco,Football 5-a-side,Men
ELAIUTY Mosaad,Egypt,Sitting Volleyball,Men
ELIA GIMENO Raul,Spain,Wheelchair Basketball,
ELTAYEB Hani,Egypt,Goalball,Women
FAREBROTHER Trent,Canada,Goalball,Women
FERIANI Matteo,Canada,Wheelchair Basketball,Men
FISHER Simon,Great Britain,Wheelchair Basketball,Women
FREITAS DO NASCIMENTO Dailton,Brazil,Goalball,Women
FRIDAY Craig,Australia,Wheelchair Basketball,Men
FRIDAY Craig,Australia,Wheelchair Basketball,Women
FURNESS Shane,Australia,Wheelchair Basketball,
GECEVICIUS Valdas,Lithuania,Goalball,Men
GUEDES DANTAS Jose,Brazil,Sitting Volleyball,Women
GUENTHER Johannes,Germany,Goalball,Men
GUMBERT James,United States of America,Wheelchair Rugby,Mixed
HAMITER William,United States of America,Sitting Volleyball,Women
HRUSTEMOVIC Mirza,Bosnia and Herzegovina,Sitting Volleyball,Men
ICHIKAWA Kyoichi,Japan,Goalball,Women
IWASA Yoshiaki,Japan,Wheelchair Basketball,Women
JOHNSON Lawrence,United States of America,Wheelchair Basketball,Women
KARASU Gultekin,Turkey,Goalball,Women
KIM Hyun Woo,Republic of Korea,Wheelchair Basketball,
KO Kwangyub,Republic of Korea,Wheelchair Basketball,
KO Kwangyub,Republic of Korea,Wheelchair Basketball,Men
KONGDANPRAI Kongkiat,Thailand,Football 5-a-side,Men
KRYVENKO Kseniia,Ukraine,Sitting Volleyball,
KUBO Yoshihiro,Japan,Sitting Volleyball,Men
KUDO Rikiya,Japan,Goalball,Men
KYOYA Kazuyuki,Japan,Wheelchair Basketball,Men
LAWRENCE Matt,Great Britain,Goalball,
LAWRENCE Matt,Great Britain,Wheelchair Basketball,
LYKINS Ron,United States of America,Wheelchair Basketball,Men
MANO Yoshihisa,Japan,Sitting Volleyball,Women
MEDIATO Celio,Brazil,Sitting Volleyball,Men
MERTEN Michael,Germany,Sitting Volleyball,Men
MIKAMI Yukako,Japan,Goalball,
MITCHELL Greg,New Zealand,Wheelchair Rugby,Mixed
NABIEV Ilkam,RPC,Goalball,Women
NOHL Dennis,Germany,Wheelchair Basketball,Women
NSENGIYUMVA Jean Marie,Rwanda,Sitting Volleyball,Women
ORR Kevin,Japan,Wheelchair Rugby,Mixed
OVSYANNIKOV Aleksandr,RPC,Sitting Volleyball,Men
OVSYANNIKOV Aleksandr,RPC,Sitting Volleyball,Women
PASCIARI Guido,Italy,Sitting Volleyball,
PISKOVA Yuliia,Ukraine,Sitting Volleyball,
RADMORE Colin,Great Britain,Goalball,
RADMORE Colin,Great Britain,Wheelchair Basketball,
REGIER Jason,Denmark,Wheelchair Rugby,Mixed
RENCBER Salih,Turkey,Goalball,Men
REZAEI Hadi,Islamic Republic of Iran,Sitting Volleyball,Men
RIBEIRO Amauri,Italy,Sitting Volleyball,Women
RIBEIRO de VASCONCELOS Fabio,Brazil,Football 5-a-side,Men
SHAW Paul,Great Britain,Wheelchair Rugby,Mixed
SHOHAM Raz,Israel,Goalball,Women
TAGHICHE Ahmed,Algeria,Wheelchair Basketball,Women
TAKADA Satoshi,Japan,Football 5-a-side,Men
TANG Qun,People's Republic of China,Goalball,Women
TAPIA LOPEZ Genoveva,Spain,Wheelchair Basketball,
TOSIM Alessandro,Brazil,Goalball,Men
TRIGO DIEZ Oscar,Spain,Wheelchair Basketball,Men
van der LINDEN Gertjan,Netherlands,Wheelchair Basketball,Women
XU Huimin,People's Republic of China,Sitting Volleyball,Women
XU Yufei,People's Republic of China,Football 5-a-side,Men
YE Jing,People's Republic of China,Sitting Volleyball,Men
YIN Shiqiang,People's Republic of China,Goalball,Men
YOUNG Keith,United States of America,Goalball,Men
ZELTINGER Nicolai,Germany,Wheelchair Basketball,Men
