Rank,Name,Sport,Gold,Silver,Bronze,Total
1,KRYPAK Maksym,Swimming,5,1,1,7
2,BOKI Ihar,Swimming,5,0,0,5
3,HUG Marcel,Athletics,4,0,0,4
3,LU Dong,Swimming,4,0,0,4
3,ZHENG Tao,Swimming,4,0,0,4
6,LONG Jessica,Swimming,3,2,1,6
7,DUNN Reece,Swimming,3,1,1,5
7,GOMES SANTIAGO Maria Carolina,Swimming,3,1,1,5
9,MARTIN William,Swimming,3,1,0,4
9,MAYHUGH Nick,Athletics,3,1,0,4
9,SHABALINA Valeriia,Swimming,3,1,0,4
12,ZHDANOV Roman,Swimming,3,0,2,5
13,DORSMAN Rogier,Swimming,3,0,0,3
13,DURAND ELIAS Omara,Athletics,3,0,0,3
13,KALINA Andrei,Swimming,3,0,0,3
13,PAEYO Pongsakorn,Athletics,3,0,0,3
13,PEARSON Lee,Equestrian,3,0,0,3
13,SALEI Raman,Swimming,3,0,0,3
13,TAN Shumei,Wheelchair Fencing,3,0,0,3
13,WEN Xiaoyan,Athletics,3,0,0,3
21,TRUSOV Andrii,Swimming,2,3,1,6
22,SCHAER Manuela,Athletics,2,3,0,5
23,GILLI Carlotta,Swimming,2,2,1,5
23,MERESHKO Yelyzaveta,Swimming,2,2,1,5
23,TERZI Giulia,Swimming,2,2,1,5
23,ZIJDERVELD Chantalle,Swimming,2,2,1,5
27,FIRTH Bethany,Swimming,2,2,0,4
27,TRIMI Arjola,Swimming,2,2,0,4
29,RIVARD Aurelie,Swimming,2,1,2,5
30,JIA Hongguang,Swimming,2,1,1,4
30,JIANG Yuyan,Swimming,2,1,1,4
30,PASCOE Sophie,Swimming,2,1,1,4
30,RONG Jing,Wheelchair Fencing,2,1,1,4
34,BOCCIARDO Francesco,Swimming,2,1,0,3
34,CROTHERS Rowan,Swimming,2,1,0,3
34,DADAON Ami Omer,Swimming,2,1,0,3
34,dos SANTOS ARAUJO Gabriel Geraldo,Swimming,2,1,0,3
34,LEANI RATRI Oktila,Badminton,2,1,0,3
34,LIU Cuiqing,Athletics,2,1,0,3
