Rank,Name,Team,Sport,Gold,Silver,Bronze,Total
1,KRYPAK Maksym,Ukraine,Swimming,5,1,1,7
2,BOKI Ihar,Belarus,Swimming,5,0,0,5
3,HUG Marcel,Switzerland,Athletics,4,0,0,4
3,LU Dong,People's Republic of China,Swimming,4,0,0,4
3,ZHENG Tao,People's Republic of China,Swimming,4,0,0,4
6,LONG Jessica,United States of America,Swimming,3,2,1,6
7,DUNN Reece,Great Britain,Swimming,3,1,1,5
7,GOMES SANTIAGO Maria Carolina,Brazil,Swimming,3,1,1,5
9,MARTIN William,Australia,Swimming,3,1,0,4
9,MAYHUGH Nick,United States of America,Athletics,3,1,0,4
9,SHABALINA Valeriia,RPC,Swimming,3,1,0,4
12,ZHDANOV Roman,RPC,Swimming,3,0,2,5
13,DORSMAN Rogier,Netherlands,Swimming,3,0,0,3
13,DURAND ELIAS Omara,Cuba,Athletics,3,0,0,3
13,KALINA Andrei,RPC,Swimming,3,0,0,3
13,PAEYO Pongsakorn,Thailand,Athletics,3,0,0,3
13,PEARSON Lee,Great Britain,Equestrian,3,0,0,3
13,SALEI Raman,Azerbaijan,Swimming,3,0,0,3
13,TAN Shumei,People's Republic of China,Wheelchair Fencing,3,0,0,3
13,WEN Xiaoyan,People's Republic of China,Athletics,3,0,0,3
21,TRUSOV Andrii,Ukraine,Swimming,2,3,1,6
22,SCHAER Manuela,Switzerland,Athletics,2,3,0,5
23,GILLI Carlotta,Italy,Swimming,2,2,1,5
23,MERESHKO Yelyzaveta,Ukraine,Swimming,2,2,1,5
23,TERZI Giulia,Italy,Swimming,2,2,1,5
23,ZIJDERVELD Chantalle,Netherlands,Swimming,2,2,1,5
27,FIRTH Bethany,Great Britain,Swimming,2,2,0,4
27,TRIMI Arjola,Italy,Swimming,2,2,0,4
29,RIVARD Aurelie,Canada,Swimming,2,1,2,5
30,JIA Hongguang,People's Republic of China,Swimming,2,1,1,4
30,JIANG Yuyan,People's Republic of China,Swimming,2,1,1,4
30,PASCOE Sophie,New Zealand,Swimming,2,1,1,4
30,RONG Jing,People's Republic of China,Wheelchair Fencing,2,1,1,4
34,BOCCIARDO Francesco,Italy,Swimming,2,1,0,3
34,CROTHERS Rowan,Australia,Swimming,2,1,0,3
34,DADAON Ami Omer,Israel,Swimming,2,1,0,3
34,dos SANTOS ARAUJO Gabriel Geraldo,Brazil,Swimming,2,1,0,3
34,LEANI RATRI Oktila,Indonesia,Badminton,2,1,0,3
34,LIU Cuiqing,People's Republic of China,Athletics,2,1,0,3
34,MA Jia,People's Republic of China,Swimming,2,1,0,3
34,NIKOLAEV Andrei,RPC,Swimming,2,1,0,3
34,POPHAM Ben,Australia,Swimming,2,1,0,3
34,SUN Gang,People's Republic of China,Wheelchair Fencing,2,1,0,3
34,VERA ANDRADE Lisbeli Marina,Venezuela,Athletics,2,1,0,3
34,VOETS Sanne,Netherlands,Equestrian,2,1,0,3
34,WEGGEMANN Mallory,United States of America,Swimming,2,1,0,3
34,ZHANG Li,People's Republic of China,Swimming,2,1,0,3
48,BIAN Jing,People's Republic of China,Wheelchair Fencing,2,0,1,3
48,de ROZARIO Madison,Australia,Athletics,2,0,1,3
48,MALYAR Mark,Israel,Swimming,2,0,1,3
48,TRUNNELL Roxanne,United States of America,Equestrian,2,0,1,3
48,van GANSEWINKEL Marlene,Netherlands,Athletics,2,0,1,3
48,van GASS Jaco,Great Britain,Cycling Track,2,0,1,3
48,ZHOU Zhaoqian,People's Republic of China,Athletics,2,0,1,3
55,ANDREJCIK Samuel,Slovakia,Boccia,2,0,0,2
55,ASPDEN Hannah,United States of America,Swimming,2,0,0,2
55,CHEN Jianxin,People's Republic of China,Cycling Road,2,0,0,2
55,CHEN Minyi,People's Republic of China,Archery,2,0,0,2
55,COCKROFT Hannah,Great Britain,Athletics,2,0,0,2
55,COX Kadeena,Great Britain,Cycling Track,2,0,0,2
55,de GROOT Diede,Netherlands,Wheelchair Tennis,2,0,0,2
55,DUNLEVY Katie-George,Ireland,Cycling Road,2,0,0,2
55,FENG Panfeng,People's Republic of China,Table Tennis,2,0,0,2
55,FENG Yanke,People's Republic of China,Wheelchair Fencing,2,0,0,2
55,GEORGE Michele,Belgium,Equestrian,2,0,0,2
55,GRISWOLD Robert,United States of America,Swimming,2,0,0,2
55,GU Haiyan,People's Republic of China,Wheelchair Fencing,2,0,0,2
55,HE Zihao,People's Republic of China,Archery,2,0,0,2
55,JACQUES Yeltsin,Brazil,Athletics,2,0,0,2
55,JENKINS Mikaela,United States of America,Swimming,2,0,0,2
55,JORGENSEN Tobias Thorning,Denmark,Equestrian,2,0,0,2
55,KTILA Walid,Tunisia,Athletics,2,0,0,2
55,KUZYUKOV Alexander,RPC,Wheelchair Fencing,2,0,0,2
55,LAMIRAULT Fabien,France,Table Tennis,2,0,0,2
55,LI Hao,People's Republic of China,Wheelchair Fencing,2,0,0,2
55,LIU Jing,People's Republic of China,Table Tennis,2,0,0,2
55,LIU Li,People's Republic of China,Athletics,2,0,0,2
55,LIU Yu,People's Republic of China,Swimming,2,0,0,2
55,MAHLANGU Ntando,South Africa,Athletics,2,0,0,2
55,MAJUNKE Jana,Germany,Cycling Road,2,0,0,2
55,MAO Jingdian,People's Republic of China,Table Tennis,2,0,0,2
55,MASTERS Oksana,United States of America,Cycling Road,2,0,0,2
55,McGRATH Curtis,Australia,Canoe Sprint,2,0,0,2
55,MOZGOVOI Bogdan,RPC,Swimming,2,0,0,2
55,PLAT Jetze,Netherlands,Cycling Road,2,0,0,2
55,QU Zimo,People's Republic of China,Badminton,2,0,0,2
55,RISTIC Dragan,Serbia,Shooting,2,0,0,2
55,SAFRONOV Dmitrii,RPC,Athletics,2,0,0,2
55,SATO Tomoki,Japan,Athletics,2,0,0,2
55,SATOMI Sarina,Japan,Badminton,2,0,0,2
55,SHALABI Iyad,Israel,Swimming,2,0,0,2
55,SHI Yiting,People's Republic of China,Athletics,2,0,0,2
55,STICKNEY Morgan,United States of America,Swimming,2,0,0,2
55,STOREY Sarah,Great Britain,Cycling Road,2,0,0,2
55,SUGIURA Keiko,Japan,Cycling Road,2,0,0,2
55,SUMMERS-NEWTON Maisie,Great Britain,Swimming,2,0,0,2
55,TLILI Raoua,Tunisia,Athletics,2,0,0,2
55,VALIZE Mitch,Netherlands,Cycling Road,2,0,0,2
55,WATSON Benjamin,Great Britain,Cycling Road,2,0,0,2
55,XUE Juan,People's Republic of China,Table Tennis,2,0,0,2
55,YAN Shuo,People's Republic of China,Table Tennis,2,0,0,2
55,YIP Pin Xiu,Singapore,Swimming,2,0,0,2
55,ZHANG Bian,People's Republic of China,Table Tennis,2,0,0,2
55,ZHAO Shuai,People's Republic of China,Table Tennis,2,0,0,2
55,ZHOU Xia,People's Republic of China,Athletics,2,0,0,2
55,ZHOU Ying,People's Republic of China,Table Tennis,2,0,0,2
55,ZOU Lijuan,People's Republic of China,Athletics,2,0,0,2
108,RAIMONDI Stefano,Italy,Swimming,1,4,2,7
109,FANTIN Antonio,Italy,Swimming,1,3,1,5
110,SUZUKI Takayuki,Japan,Swimming,1,2,2,5
110,WANG Lichao,People's Republic of China,Swimming,1,2,2,5
112,BANDEIRA Gabriel,Brazil,Swimming,1,2,1,4
112,BARLAAM Simone,Italy,Swimming,1,2,1,4
112,CRISPIN CORZO Nelson,Colombia,Swimming,1,2,1,4
112,PIKALOVA Daria,RPC,Swimming,1,2,1,4
116,ABARZA Alberto,Chile,Swimming,1,2,0,3
116,BAKER Natasha,Great Britain,Equestrian,1,2,0,3
116,HU Daoliang,People's Republic of China,Wheelchair Fencing,1,2,0,3
116,ISHCHIULOVA Viktoriia,RPC,Swimming,1,2,0,3
116,KONKOLY Zsofia,Hungary,Swimming,1,2,0,3
116,MALONE Noah,United States of America,Athletics,1,2,0,3
116,MARTIN Raymond,United States of America,Athletics,1,2,0,3
116,MASON Brittni,United States of America,Athletics,1,2,0,3
116,MAZZONE Luca,Italy,Cycling Road,1,2,0,3
116,PAP Bianka,Hungary,Swimming,1,2,0,3
116,VDOVIN Andrei,RPC,Athletics,1,2,0,3
116,ZHOU Yanfei,People's Republic of China,Swimming,1,2,0,3
128,CAI Liwen,People's Republic of China,Swimming,1,1,2,4
128,PALAZZO Xenia Francesca,Italy,Swimming,1,1,2,4
128,SERRANO ZARATE Carlos Daniel,Colombia,Swimming,1,1,2,4
131,BELARMINO PEREIRA Wendell,Brazil,Swimming,1,1,1,3
131,FERNANDEZ INFANTE Marta,Spain,Swimming,1,1,1,3
131,GILLIVER Piers,Great Britain,Wheelchair Fencing,1,1,1,3
131,HANCE Benjamin James,Australia,Swimming,1,1,1,3
131,JIANG Fenfen,People's Republic of China,Athletics,1,1,1,3
131,JOUANNY Florian,France,Cycling Road,1,1,1,3
131,LI Guizhi,People's Republic of China,Swimming,1,1,1,3
131,LI Zhangyu,People's Republic of China,Cycling Track,1,1,1,3
131,LOPEZ DIAZ Diego,Mexico,Swimming,1,1,1,3
131,MARKS Elizabeth,United States of America,Swimming,1,1,1,3
131,McFADDEN Tatyana,United States of America,Athletics,1,1,1,3
131,OSTAPCHENKO Denys,Ukraine,Swimming,1,1,1,3
131,YUAN Weiyi,People's Republic of China,Swimming,1,1,1,3
144,ALCOTT Dylan,Australia,Wheelchair Tennis,1,1,0,2
144,ATHMANI Skander Djamil,Algeria,Athletics,1,1,0,2
144,CAO Ningning,People's Republic of China,Table Tennis,1,1,0,2
144,CHENG Hefang,People's Republic of China,Badminton,1,1,0,2
144,COAN McKenzie,United States of America,Swimming,1,1,0,2
144,CUNDY Jody,Great Britain,Cycling Track,1,1,0,2
144,da SILVA Alessandro Rodrigo,Brazil,Athletics,1,1,0,2
144,DORRIS Danielle,Canada,Swimming,1,1,0,2
144,DRAHONINSKY David,Czech Republic,Archery,1,1,0,2
144,GENYN Peter,Belgium,Athletics,1,1,0,2
144,GONTAR Anastasiia,RPC,Swimming,1,1,0,2
144,GRANICHKA Andrei,RPC,Swimming,1,1,0,2
144,GUITY GUITY Sherman Isidro,Costa Rica,Athletics,1,1,0,2
144,HILTROP Natascha,Germany,Shooting,1,1,0,2
144,HUANG Wenjuan,People's Republic of China,Table Tennis,1,1,0,2
144,HUANG Xing,People's Republic of China,Shooting,1,1,0,2
144,IGLESIAS FORNEIRO Adiaratou,Spain,Athletics,1,1,0,2
144,KEARNEY Tully,Great Britain,Swimming,1,1,0,2
144,KIMURA Keiichi,Japan,Swimming,1,1,0,2
144,KOZAKOWSKA Roza,Poland,Athletics,1,1,0,2
144,KRIVSHINA Anna,RPC,Swimming,1,1,0,2
144,LEAUTE Alexandre,France,Cycling Track,1,1,0,2
144,LEI Li Na,Australia,Table Tennis,1,1,0,2
144,LIU Yutong,People's Republic of China,Badminton,1,1,0,2
144,MAZUR Lucas,France,Badminton,1,1,0,2
144,MI Na,People's Republic of China,Athletics,1,1,0,2
144,MOSKALENKO Anastasiia,Ukraine,Athletics,1,1,0,2
144,OLAD Mahdi,Islamic Republic of Iran,Athletics,1,1,0,2
144,PAENG-NUEA Athiwat,Thailand,Athletics,1,1,0,2
144,PIISPANEN Toni,Finland,Athletics,1,1,0,2
144,SCHRODER Sam,Netherlands,Wheelchair Tennis,1,1,0,2
144,SERBIN Mykhailo,Ukraine,Swimming,1,1,0,2
144,SHABUROV Maxim,RPC,Wheelchair Fencing,1,1,0,2
144,STRENG Felix,Germany,Athletics,1,1,0,2
144,TARASOV Denis,RPC,Swimming,1,1,0,2
144,ter SCHURE Vincent,Netherlands,Cycling Road,1,1,0,2
144,TOWNSEND Roderick,United States of America,Athletics,1,1,0,2
144,TURNER James,Australia,Athletics,1,1,0,2
144,VALIYEVA Lamiya,Azerbaijan,Athletics,1,1,0,2
144,van ZON Kelly,Netherlands,Table Tennis,1,1,0,2
144,VIO Beatrice Maria,Italy,Wheelchair Fencing,1,1,0,2
